timestep,demand_el,price_el,Eta_el_max_woDH,P_max_woDH,Eta_el_min_woDH,P_min_woDH,Beta,Q_CW_min,H_L_FG_share
170,0.6653772971,-23.89,0.602424123,225,0.504914739,94.8553072604,0.0007763904,25.455039665,0.1383022921
171,0.6457488358,-22.83,0.6024358816,217.6776695297,0.5049267248,94.8575589612,0.0007534871,25.4540547582,0.1382938035
172,0.6322918231,-21.68,0.6024439431,200,0.5049349421,94.8591026974,0.0007377849,25.4533795191,0.1382879838
173,0.6371363477,-21.54,0.602441041,182.3223304703,0.5049319839,94.8585469524,0.0007434377,25.4536226052,0.1382900789
174,0.6607580992,-23.38,0.6024268902,175,0.5049175597,94.8558371568,0.0007710006,25.4548078853,0.1383002945
175,0.7203945721,-28.21,0.6023911645,182.3223304703,0.5048811436,94.8489958925,0.0008405869,25.4578002936,0.1383260851
176,0.8020504732,-35.07,0.6023422479,200,0.5048312818,94.8396286449,0.0009358665,25.4618975816,0.1383613983
177,0.8301161684,-41.31,0.6023254349,217.6776695297,0.5048141439,94.8364090574,0.0009686147,25.4633058476,0.1383735357
178,0.8360247359,-37.33,0.6023218954,225,0.5048105359,94.8357312495,0.0009755091,25.4636023247,0.1383760909
179,0.8437359171,-34.25,0.6023172759,217.6776695297,0.5048058272,94.8348466528,0.0009845068,25.4639892524,0.1383794257
180,0.8515722798,-32.99,0.6023125815,200,0.5048010421,94.8339476957,0.0009936506,25.4643824614,0.1383828147
181,0.8520980422,-28.52,0.6023122665,182.3223304703,0.504800721,94.8338873823,0.0009942641,25.4644088428,0.1383830421
182,0.8360622903,-27.6,0.6023218729,175,0.504810513,94.8357269414,0.0009755529,25.4636042091,0.1383761072
183,0.8230058585,-27.18,0.6023296944,182.3223304703,0.5048184857,94.8372247245,0.0009603181,25.4629490701,0.1383704607
184,0.8145060337,-26.37,0.6023347863,200,0.504823676,94.8381997914,0.0009504002,25.4625225703,0.1383667849
185,0.8219918882,-26,0.6023303018,217.6776695297,0.5048191049,94.8373410432,0.000959135,25.4628981916,0.1383700222
186,0.8651044014,-28.24,0.602304475,225,0.5047927789,94.8323953433,0.0010094405,25.4650614692,0.1383886668
187,0.8709003054,-30.68,0.6023010029,217.6776695297,0.5047892397,94.8317304597,0.0010162034,25.4653522931,0.1383911734
188,0.8490561314,-32.9,0.6023140888,200,0.5048025785,94.8342363384,0.0009907147,25.4642562074,0.1383817265
189,0.8039156777,-32.12,0.6023411305,182.3223304703,0.5048301428,94.8394146758,0.0009380429,25.4619911728,0.1383622049
190,0.7759376095,-32.55,0.602357891,175,0.5048472272,94.8426242111,0.0009053969,25.4605873037,0.1383501054
191,0.7687521907,-30.9,0.6023621955,182.3223304703,0.5048516148,94.8434484944,0.0008970127,25.4602267574,0.138346998
192,0.7330128687,-26.5,0.6023836054,200,0.5048734385,94.8475483705,0.0008553105,25.4584334481,0.138331542
193,0.7054854539,-23.67,0.6024000959,217.6776695297,0.5048902476,94.8507062086,0.0008231903,25.4570521916,0.1383196374
194,0.6804491513,-21.87,0.6024150941,225,0.5049055356,94.8535782759,0.0007939769,25.4557959328,0.1383088101
195,0.6628987031,-20.81,0.6024256078,217.6776695297,0.5049162525,94.8555915951,0.0007734983,25.4549152954,0.1383012202
196,0.6490035552,-20.58,0.6024339318,200,0.5049247374,94.8571855924,0.0007572849,25.4542180718,0.138295211
197,0.6434705323,-21.11,0.6024372464,182.3223304703,0.504928116,94.8578203193,0.0007508287,25.4539404386,0.1382928182
198,0.6380501728,-23.06,0.6024404935,175,0.5049314259,94.8584421219,0.000744504,25.4536684586,0.1382904741
199,0.6309774173,-28.03,0.6024447305,182.3223304703,0.5049357448,94.8592534809,0.0007362512,25.4533135655,0.1382874154
200,0.6581543238,-33.97,0.60242845,200,0.5049191496,94.8561358518,0.0007679624,25.4546772344,0.1382991684
201,0.6960968404,-43.08,0.6024057202,217.6776695297,0.5048959806,94.8517832338,0.0008122353,25.4565810945,0.1383155772
202,0.7349657003,-44,0.6023824355,225,0.504872246,94.8473243493,0.0008575891,25.4585314362,0.1383323866
203,0.7612788543,-42.89,0.6023666724,217.6776695297,0.5048561783,94.8443058065,0.0008882924,25.4598517642,0.138343766
204,0.7785914576,-41.4,0.6023563012,200,0.5048456066,94.842319772,0.0009084935,25.4607204671,0.1383512531
205,0.7836613089,-34.99,0.6023532641,182.3223304703,0.5048425108,94.8417381783,0.0009144092,25.4609748595,0.1383534456
206,0.7707550949,-33.93,0.6023609956,175,0.5048503918,94.843218729,0.0008993497,25.4603272581,0.1383478642
207,0.7495618647,-30.2,0.6023736916,182.3223304703,0.5048633331,94.845649934,0.0008746206,25.4592638351,0.1383386989
208,0.7434279706,-27.34,0.6023773662,200,0.5048670786,94.8463535905,0.0008674633,25.4589560517,0.1383360462
