deu_2006,deu_2007,deu_2008,deu_2009,deu_2010,deu_2011
56617,53283,51379,48087,44350,46203
56322,53798,52626,48069,43972,47530
57976,55942,55094,47376,42781,50918
63302,62224,61986,46346,41098,59780
69829,69002,69202,49185,41995,67831
71080,70462,71031,51556,44581,70304
70507,70406,70622,53237,47624,70662
71095,71120,70802,54244,50054,71928
71458,71980,71183,54890,52544,73057
70855,71390,70747,54601,52552,72772
70431,71186,70365,53073,50709,72477
69674,70432,69941,51569,49261,71481
69004,69636,69954,51908,48919,70870
68765,69285,70234,52850,49584,70073
73373,73584,74048,57570,53756,72711
74295,74559,74677,58852,56810,72834
72864,72828,72690,56788,56694,70894
69337,68866,68574,53096,54719,66893
67352,66856,66682,51701,53335,64061
67025,65608,65425,52322,53879,62211
63627,61863,60739,49837,51562,57786
60707,59045,57114,46725,48539,54427
58792,56967,54803,44416,46602,52225
57385,55618,53443,43177,45768,51340
56534,54634,53302,42376,45448,51465
56656,54367,54549,42245,46674,52670
58151,56395,57056,40938,49332,54795
63584,63046,63493,38909,55246,61842
70476,69435,70751,40131,61529,68633
72075,70367,72677,42726,63903,70471
71808,70033,72797,45790,64829,70979
72618,70421,73113,47668,66040,72024
73233,71287,73560,49259,67255,72992
73041,70863,72634,48358,67012,72621
72327,70639,71661,46248,66512,72264
71527,69911,70593,44600,65361,71452
70749,69055,70050,44501,64709,70705
70631,68576,70457,45741,63988,70271
73973,72622,74656,51843,66814,72553
74232,73947,75920,54975,68565,73337
72158,72075,73138,54409,67628,71412
68702,68494,68609,52353,64661,67369
66655,65859,66505,51580,62022,64478
65995,64819,65630,52446,60366,62744
62344,61501,61912,49658,56307,58766
59666,59302,58125,46781,53158,54772
57826,57610,55700,45061,51086,52625
56697,56206,54201,44232,50219,51590
56011,55651,53532,44107,49977,51732
56168,56284,53520,45225,50665,52611
57609,58169,52951,48308,53123,55167
62782,64457,52851,56096,59314,62226
69361,71264,56377,63211,65985,69068
71284,73190,59660,64979,68011,71265
71315,73496,62186,64721,68350,71513
71572,74286,63393,64660,69028,72452
72472,75082,63866,64868,69471,73433
72145,74790,62507,64611,69039,73362
71426,73729,60807,64288,68933,72814
70727,72499,59477,63753,68302,71683
69963,71852,59375,63515,67570,70786
68986,72360,60106,63807,67032,70001
72798,75785,64701,67475,70491,72508
73799,75897,66060,68655,71912,73091
72320,73214,63752,66439,70817,71676
69013,69349,60216,62872,67695,67879
67000,67100,58644,60367,64964,65194
66376,66137,58372,58649,63789,62697
63230,63608,55413,54629,60717,58200
60793,60572,51939,51414,58168,54995
59272,58091,49240,49155,56176,52843
57996,55797,47625,48248,54844,51824
56825,54687,46056,47957,53478,52051
56575,53619,45404,48570,53386,52938
57859,52424,44581,50996,55372,55551
62832,51631,43265,57876,61232,62423
69610,54739,45222,64998,68118,69258
71149,57448,49181,66899,69899,71144
70958,60287,53419,67192,70090,71492
71237,62428,56965,67844,70683,72204
71738,63643,60322,68455,71510,72782
71330,62748,59770,67928,71280,73029
69877,60641,57793,67439,71263,72197
68334,58597,55925,66572,70859,71373
67428,57782,54881,66060,70554,70584
67009,58008,55202,65604,70684,69890
71360,62586,59041,68499,74955,72693
72689,64455,61205,68732,76824,73667
70302,61907,59486,66973,75447,71886
66843,58278,56152,63096,71705,68242
64977,56988,54809,60529,68819,64893
65691,58166,56043,58980,67364,63353
63141,55187,52514,54546,64045,59115
61033,52537,48759,51458,60710,55804
58903,50185,46744,49250,58699,53939
56838,48841,46092,48224,56940,52756
55160,48624,46585,47949,55873,52525
53816,48814,48216,48374,55471,53267
51995,47800,51789,51068,56938,55484
49539,45456,59809,57568,62257,62389
52270,46861,67382,64432,68580,69295
55770,49680,69838,66559,70526,71056
58737,53438,70080,66572,70931,71258
60352,56630,70694,67209,71889,71981
61157,59441,71463,67533,73138,72852
59894,59462,70953,66940,73216,72107
58004,57799,70470,66334,72610,70453
56167,56677,69561,65369,71553,68431
55702,56217,69041,64607,70685,67683
56004,56900,68761,64200,69389,66900
61561,61036,72138,67545,71652,70448
64034,63029,73155,68720,73150,72305
61722,61747,70987,66562,71378,70193
58021,59717,66665,62785,67821,66508
56896,59360,63963,60258,64553,63659
58704,60661,61897,59002,62877,62628
56834,57876,57151,54980,59129,59473
54950,55276,52770,51796,56014,56376
52723,53120,50680,49551,53435,54276
51140,52134,49545,48461,51882,52553
49673,52267,49960,48071,51491,51732
48587,53212,51251,48515,51599,51295
46390,55365,53936,50818,53581,50211
42936,62450,61129,57255,58662,49227
44122,69451,68255,63997,65108,52416
47093,71310,70041,65428,67367,55845
50550,71342,69760,65380,68138,58939
53056,72241,70235,65711,68525,61082
55359,72812,70699,65992,68863,62081
53893,72345,69933,65169,68463,61566
51361,71970,69347,64362,67174,59850
49652,71001,68815,63360,65891,57851
48948,69793,68442,62966,65125,56854
49690,68674,68134,62756,64696,56644
55201,72145,71681,66742,68166,60915
59406,73179,73135,68589,69264,63608
58939,71021,71296,66698,67650,61448
56888,67156,67324,63029,63637,58232
56687,64652,64543,60487,61212,56443
58519,63150,62327,58869,60484,56662
56542,58392,57844,55058,57719,53804
54860,55201,53452,52160,54888,50794
53272,53304,51281,49828,53088,48533
52268,52572,50346,48632,51870,46872
51832,53382,50343,48055,51438,45889
52459,54924,51402,48346,51248,45207
54800,57041,53925,50336,50074,44097
61058,63860,61039,56624,49012,42303
68066,70429,68454,63233,51344,43490
70054,71915,70438,64936,54605,46386
70030,71496,70455,64765,58101,50104
70205,72057,70953,64649,59309,52836
70911,72880,72447,64611,60164,55372
70461,72325,71848,63458,59860,55147
69944,71631,71678,61915,57995,52931
69100,70772,71041,60577,56599,51170
68371,69826,70610,60045,55594,50331
67674,69293,70325,60332,55188,50658
71147,72427,72893,63669,58637,55360
73155,73618,73604,65720,61344,58922
71548,71384,71917,63316,59592,57929
68136,67433,68061,59887,56081,55822
65951,64544,65488,57772,53918,55116
64868,62924,63687,57447,54777,56955
60961,58305,59163,54065,52751,54487
58451,54313,55248,51352,50344,52085
56616,52502,53050,49179,48278,50623
55494,51453,51928,47784,46782,49559
54877,52286,51872,46210,45570,49201
55501,53526,52847,45435,44563,50047
57107,56313,55135,44580,43616,53005
62319,63224,61604,43497,42080,60666
69417,70065,68518,46385,42704,67237
70802,71552,70307,49994,45109,69980
70624,71791,70543,53360,48321,71182
71182,72765,71342,54810,50594,71913
71682,73926,72566,55193,53236,72710
70836,73522,72651,54969,53087,72340
70308,73335,72321,53906,51373,71801
69238,72603,71698,52849,49680,70892
68305,71925,71611,52452,49182,69809
67315,71663,71670,52814,49444,69160
70886,74638,75292,56735,53800,71388
73201,76446,76623,58907,57907,72714
71503,74703,74499,57107,57350,71911
67844,70370,70529,54143,55547,68492
65699,67728,67752,52841,54303,66210
64565,66017,66429,53968,55544,64468
60994,61317,62368,51580,52968,60661
58814,54332,60345,50221,52597,57755
57268,52388,58537,47918,51072,55510
56160,51501,56852,46691,50746,54294
55850,51526,57170,45231,50320,53826
56080,52433,57743,44587,51221,54432
57626,54705,58344,43538,52911,56631
62822,60831,63758,41596,59149,63279
69618,67568,69620,42998,66104,69677
71052,69171,72393,46281,68495,72327
70725,69061,72789,49653,69443,72977
70800,69738,73832,52571,70404,73700
71404,70666,74767,55077,70930,74552
70831,69900,74395,54710,70736,74318
70048,69339,72862,53102,70564,73839
68970,68434,71119,52114,69824,72933
67979,67895,70045,52007,69131,71881
67275,67411,69592,52230,67886,70977
70876,70828,72883,56405,70366,73485
73290,72301,73597,59558,72522,74639
71448,70177,70981,58942,70836,73273
68343,66940,66838,57146,67558,69489
66246,64180,64457,56781,64944,66628
65771,62610,64107,57964,63211,65295
