datetime,BE_LU_powerline,DE_LU_powerline,FR_LU_powerline,LU_shortage,LU_BE_powerline,LU_DE_powerline,LU_excess,duals
2025-01-06 17:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-06 18:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-06 19:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-06 20:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-06 21:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-06 22:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-06 23:00:00,0.0,0.0,126.036298896,0.0,126.036298896,0.0,0.0,16.3124504362
2025-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-07 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-07 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-07 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-07 04:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,16.3124504362
2025-01-07 05:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,32.095452381
2025-01-07 06:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,36.15
2025-01-07 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.15
2025-01-07 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.15
2025-01-07 09:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,35.0655
2025-01-07 10:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-07 11:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
