class,demand_el,pv,wind,demand_th,price_el
,0.8493592538,0.135982,0.34035,0.1939460024,-21.06
,0.889373202,0.002841,0.333881,0.1998316246,-21.8
,0.9021881266,0,0.332573,0.2102585046,-23.09
,0.8817016825,0,0.332875,0.2245092746,-26.29
,0.825298579,0,0.328777,0.2336330134,-30.01
,0.7663673612,0,0.313851,0.2230021434,-32.85
,0.7156307209,0,0.29224,0.2064410265,-32.06
,0.7065643797,0,0.268551,0.1716966041,-31.67
,0.657396914,0,0.239083,0.1184548408,-32.86
,0.6245314271,0,0.210405,0.1133077078,-29.45
,0.596983698,0,0.182572,0.1469452338,-26.14
,0.5774561939,0,0.159968,0.1500444621,-24.2
,0.5568825734,0,0.144647,0.1569258683,-23.01
,0.5657745619,0,0.132654,0.1740503842,-21.57
,0.593322291,0,0.128774,0.2175136794,-21.71
,0.6378694098,0,0.126178,0.2993166845,-21.25
,0.7012466219,0.000008,0.123987,0.3541620446,-21.82
,0.739517043,0.0738,0.123489,0.3316082816,-22.85
,0.7678493593,0.179492,0.108641,0.3062301219,-26.06
,0.7750849969,0.254836,0.08368,0.2851263663,-29.47
,0.7709005318,0.305859,0.094592,0.2630026701,-29.46
,0.7334146979,0.322512,0.120943,0.2502968704,-30.03
,0.7253072967,0.282464,0.137187,0.2435902264,-28.49
,0.7181588353,0.184176,0.162207,0.2437331516,-25.69
,0.7225176532,0.059505,0.214238,0.246778243,-23.85
,0.7719466481,0.001521,0.273182,0.2542671496,-23.8
,0.796530381,0,0.310908,0.2675343843,-24.06
,0.7678493593,0,0.342955,0.2856671632,-27.92
,0.7236509459,0,0.384065,0.297276272,-30.23
,0.6805858251,0,0.43193,0.2837494791,-31.47
,0.6416179932,0,0.486595,0.2626769986,-31.85
,0.6394385843,0,0.582011,0.2184679538,-29.47
,0.5922761747,0,0.681077,0.1507227637,-30.94
,0.5622875076,0,0.746583,0.1441735159,-27.73
,0.5341295441,0,0.777987,0.1655940671,-22.74
,0.5266323773,0,0.779641,0.1700881514,-18.6
,0.5139046291,0,0.765315,0.1773041705,-18.58
,0.5180019179,0,0.71105,0.1901486592,-18.58
,0.5293348444,0,0.656147,0.2237509635,-18.54
,0.5476418795,0,0.624462,0.2962577996,-17.5
,0.5965478162,0.000366,0.603871,0.3471333528,-17.58
,0.6449306948,0.104938,0.562507,0.3351252995,-19.16
,0.6811960596,0.246203,0.475009,0.315651352,-21.57
,0.7029901491,0.388778,0.425441,0.2983471149,-22.91
