class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### TODOS,,,,,,,,,,,,,,,,,
Replace load (nominal value) with maximum of ENTSO-E load for all countries,,,,,,,,,,,,,,,,,
If time: replace solar and wind feedin for 2014 with real values from OPSD dataset,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,
Source,DK_shortage,DK_shortage,DK_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,DK_pp_uranium,GL_bus_uranium,DK_pp_uranium,,,,,,,,,,,,,,
LinearTransformer,DK_pp_uranium,DK_pp_uranium,DK_bus_el,0.36,0.00000001,,,0.5,,,,,,,,,
LinearTransformer,DK_pp_lignite,GL_bus_lignite,DK_pp_lignite,,,,,,,,,,,,,,
LinearTransformer,DK_pp_lignite,DK_pp_lignite,DK_bus_el,0.36,0.00000001,,,4.4,,,,,,,,,
LinearTransformer,DK_pp_hard_coal,GL_bus_hard_coal,DK_pp_hard_coal,,,,,,,,,,,,,,
LinearTransformer,DK_pp_hard_coal,DK_pp_hard_coal,DK_bus_el,0.385,2410,,,4,,,,,,,,,
LinearTransformer,DK_pp_gas,GL_bus_gas,DK_pp_gas,,,,,,,,,,,,,,
LinearTransformer,DK_pp_gas,DK_pp_gas,DK_bus_el,0.471,2190,,,1.5,,,,,,,,,
LinearTransformer,DK_pp_oil,GL_bus_oil,DK_pp_oil,,,,,,,,,,,,,,
LinearTransformer,DK_pp_oil,DK_pp_oil,DK_bus_oil,0.368,50,,,,,,,,,,,,
LinearTransformer,DK_pp_mixed_fuels,GL_bus_mixed_fuels,DK_pp_mixed_fuels,,,,,,,,,,,,,,
LinearTransformer,DK_pp_mixed_fuels,DK_pp_mixed_fuels,DK_bus_mixed_fuels,0.26,0.00000001,,,23,,,,,,,,,
LinearTransformer,DK_pp_biomass,GL_bus_biomass,DK_pp_biomass,,,,,,,,,,,,,,
LinearTransformer,DK_pp_biomass,DK_pp_biomass,DK_bus_biomass,0.38,1420,,,3.9,,,,,,,,,
Source,DK_wind,DK_wind,DK_bus_el,,4800,seq,,,TRUE,,,,,,,,
Source,DK_solar,DK_solar,DK_bus_el,,560,seq,,,TRUE,,,,,,,,
Storage,DK_storage_phs,DK_bus_el,DK_storage_phs,,10,,,0,,100,0,0.9,0.9,0.5,0,1,
Storage,DK_storage_phs,DK_storage_phs,DK_bus_el,,10,,,0,,,,,,,,,
Sink,DK_load,DK_bus_el,DK_load,,4960,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### FR,,,,,,,,,,,,,,,,,
Sink,FR_excess,FR_bus_el,FR_excess,,,,,1000,,,,,,,,,
Source,FR_shortage,FR_shortage,FR_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,FR_pp_uranium,GL_bus_uranium,FR_pp_uranium,,,,,,,,,,,,,,
LinearTransformer,FR_pp_uranium,FR_pp_uranium,FR_bus_el,0.36,63100,,,0.5,,,,,,,,,
LinearTransformer,FR_pp_lignite,GL_bus_lignite,FR_pp_lignite,,,,,,,,,,,,,,
LinearTransformer,FR_pp_lignite,FR_pp_lignite,FR_bus_el,0.36,0.00000001,,,4.4,,,,,,,,,
LinearTransformer,FR_pp_hard_coal,GL_bus_hard_coal,FR_pp_hard_coal,,,,,,,,,,,,,,
LinearTransformer,FR_pp_hard_coal,FR_pp_hard_coal,FR_bus_el,0.385,5200,,,4,,,,,,,,,
LinearTransformer,FR_pp_gas,GL_bus_gas,FR_pp_gas,,,,,,,,,,,,,,
LinearTransformer,FR_pp_gas,FR_pp_gas,FR_bus_el,0.471,5800,,,1.5,,,,,,,,,
LinearTransformer,FR_pp_oil,GL_bus_oil,FR_pp_oil,,,,,,,,,,,,,,
LinearTransformer,FR_pp_oil,FR_pp_oil,FR_bus_oil,0.368,6700,,,,,,,,,,,,
LinearTransformer,FR_pp_mixed_fuels,GL_bus_mixed_fuels,FR_pp_mixed_fuels,,,,,,,,,,,,,,
LinearTransformer,FR_pp_mixed_fuels,FR_pp_mixed_fuels,FR_bus_mixed_fuels,0.26,5300,,,23,,,,,,,,,
LinearTransformer,FR_pp_biomass,GL_bus_biomass,FR_pp_biomass,,,,,,,,,,,,,,
LinearTransformer,FR_pp_biomass,FR_pp_biomass,FR_bus_biomass,0.38,1500,,,3.9,,,,,,,,,
Source,FR_wind,FR_wind,FR_bus_el,,9000,seq,,,TRUE,,,,,,,,
Source,FR_solar,FR_solar,FR_bus_el,,5100,seq,,,TRUE,,,,,,,,
Storage,FR_storage_phs,FR_bus_el,FR_storage_phs,,3170,,,0,,31700,0,0.9,0.9,0.5,0,1,
Storage,FR_storage_phs,FR_storage_phs,FR_bus_el,,3170,,,0,,,,,,,,,
Sink,FR_load,FR_bus_el,FR_load,,83300,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### LU,,,,,,,,,,,,,,,,,
Sink,LU_excess,LU_bus_el,LU_excess,,,,,1000,,,,,,,,,
Source,LU_shortage,LU_shortage,LU_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,LU_pp_uranium,GL_bus_uranium,LU_pp_uranium,,,,,,,,,,,,,,
LinearTransformer,LU_pp_uranium,LU_pp_uranium,LU_bus_el,0.36,0.00000001,,,0.5,,,,,,,,,
LinearTransformer,LU_pp_lignite,GL_bus_lignite,LU_pp_lignite,,,,,,,,,,,,,,
LinearTransformer,LU_pp_lignite,LU_pp_lignite,LU_bus_el,0.36,0.00000001,,,4.4,,,,,,,,,
LinearTransformer,LU_pp_hard_coal,GL_bus_hard_coal,LU_pp_hard_coal,,,,,,,,,,,,,,
LinearTransformer,LU_pp_hard_coal,LU_pp_hard_coal,LU_bus_el,0.385,0.00000001,,,4,,,,,,,,,
